genome	replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in
GCA_021609985.1	protein_ordered	UJQ37761.1	Clu11-IntP2	827	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	2	Clu11-IntP2	mandatory	358	2.2e-42	143.400	0.922	0.972	2	349		
GCA_021609985.1	protein_ordered	UJQ37768.1	Clu32-IntSXT	834	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	2	Clu32-IntSXT	mandatory	413	5.7e-138	458.100	0.983	0.937	6	392		
GCA_021609985.1	protein_ordered	UJQ37769.1	Clu3-DUF2787	835	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	2	Clu3-DUF2787	mandatory	144	5.5e-49	163.700	0.971	0.951	6	142		
GCA_021609985.1	protein_ordered	UJQ37770.1	Clu29-Hyp2	836	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	2	Clu29-Hyp2	mandatory	206	1.9e-33	113.500	0.778	0.626	10	138		
GCA_021609985.1	protein_ordered	UJQ37772.1	Clu763-HypAer	838	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	2	Clu763-HypAer	mandatory	186	6e-16	56.800	0.713	0.656	9	130		
GCA_021609985.1	protein_ordered	UJQ37777.1	Clu11-IntP2	843	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	2	Clu11-IntP2	mandatory	385	1.4e-43	147.300	0.933	0.917	22	374		
GCA_021609985.1	protein_ordered	UJQ37781.1	Clu32-IntSXT	847	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	2	Clu32-IntSXT	mandatory	413	6e-138	458.100	0.983	0.937	6	392		
GCA_021609985.1	protein_ordered	UJQ37782.1	Clu3-DUF2787	848	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	2	Clu3-DUF2787	mandatory	144	3.1e-48	161.300	0.979	0.958	6	143		
GCA_021609985.1	protein_ordered	UJQ37783.1	Clu29-Hyp2	849	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	2	Clu29-Hyp2	mandatory	206	5.6e-34	115.300	0.784	0.631	10	139		
GCA_021609985.1	protein_ordered	UJQ37785.1	Clu763-HypAer	851	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	2	Clu763-HypAer	mandatory	182	5.7e-16	56.900	0.713	0.670	9	130		
